Open,pdate,Job ID,Job title,Company Name,DE,Company Location,Seniority Level,Industry,Employment Type,Job Functions,Number of applicants,pdatetime,Posted Date,cdatetime,cdate
True,2020-03-18,1738845878,Data Scientist,Alldus,False,"Berlin Area, Germany",Mid-Senior level,Staffing & Recruiting,Full-time,Science,Over 200 applicants,2020-03-18 23:15:43.942972,Posted 4 weeks ago,2020-04-15 23:15:43.942972,2020-04-15
True,2020-03-26,1768480723,Senior Data Scientist (f/m/x),HelloFresh,False,"Berlin Area, Germany",Mid-Senior level,Marketing & Advertising | Internet | Food & Beverages,Full-time,Information Technology | Engineering | Other,38 applicants,2020-03-26 11:18:42.198887,Posted 3 weeks ago,2020-04-16 11:18:42.198887,2020-04-16
True,2020-03-26,1802566543,Data Scientist (m/f/d),K̦rber Digital,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,40 applicants,2020-03-26 11:16:49.707767,Posted 3 weeks ago,2020-04-16 11:16:49.707767,2020-04-16
True,2020-04-02,1808361049,"Senior Research Engineer, Machine Learning",SoundHound Inc.,False,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-02 10:29:03.526507,Posted 2 weeks ago,2020-04-16 10:29:03.526507,2020-04-16
True,2020-04-02,1804704641,Senior Software Engineer / Sr. Data Engineer,TomTom,False,"Berlin, DE",--missing--,Automotive | Consumer Electronics | Information Technology & Services,Full-time,Engineering | Information Technology,40 applicants,2020-04-02 10:27:14.481435,Posted 2 weeks ago,2020-04-16 10:27:14.481435,2020-04-16
True,2020-04-02,1797513832,Senior Data Scientist (f/m/x),travel audience GmbH - an Amadeus Company,False,"Berlin Area, Germany",Mid-Senior level,"Internet | Marketing & Advertising | Leisure, Travel & Tourism",Full-time,Research | Analyst | Engineering,161 applicants,2020-04-02 11:30:25.324559,Posted 2 weeks ago,2020-04-16 11:30:25.324559,2020-04-16
True,2020-04-09,1813134804,Data Scientist,Alldus,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-09 10:34:21.819292,Posted 1 week ago,2020-04-16 10:34:21.819292,2020-04-16
True,2020-04-09,1819486143,Software Engineer / Data Scientist,Audatic,False,"Berlin Area, Germany",Associate,Computer Software,Full-time,Engineering | Information Technology,69 applicants,2020-04-09 10:33:30.311335,Posted 1 week ago,2020-04-16 10:33:30.311335,2020-04-16
True,2020-04-09,1793232288,(Senior) Data Scientist (m/f/x) - SaaS Venture,BCG Digital Ventures,False,"Berlin Area, Germany",Mid-Senior level,Internet | Construction,Full-time,Engineering,94 applicants,2020-04-09 11:23:16.540198,Posted 1 week ago,2020-04-16 11:23:16.540198,2020-04-16
True,2020-04-09,1793279976,Senior Data Scientist (m/w/d) Medical Devices,Fresenius Medical Care,False,"Berlin, DE",Associate,Hospital & Health Care | Pharmaceuticals | Information Technology & Services,Full-time,Other,36 applicants,2020-04-09 10:37:06.374435,Posted 1 week ago,2020-04-16 10:37:06.374435,2020-04-16
True,2020-04-09,1815571623,Data Scientist,Remerge,False,"Berlin, DE",Entry level,Marketing & Advertising | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-09 10:36:29.926709,Posted 1 week ago,2020-04-16 10:36:29.926709,2020-04-16
True,2020-04-09,1815573119,Data Scientist,Remerge,False,"Berlin, DE",Entry level,Marketing & Advertising | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-09 11:25:18.045802,Posted 1 week ago,2020-04-16 11:25:18.045802,2020-04-16
True,2020-04-09,1739043765,Data Scientist- Marketing Analytics (m/f/d),TeamViewer,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,159 applicants,2020-04-09 11:22:35.363566,Posted 1 week ago,2020-04-16 11:22:35.363566,2020-04-16
True,2020-04-09,1793291251,Point Cloud Data Scientist / Researcher,Teraki,False,"Berlin, Germany",Associate,Information Technology & Services,Full-time,Science | Information Technology | Engineering,35 applicants,2020-04-09 10:36:48.042578,Posted 1 week ago,2020-04-16 10:36:48.042578,2020-04-16
True,2020-04-12,1822338647,Senior Data Scientist (m/f/d) for established medtech company,Berlin Brandenburg Airport,False,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Staffing & Recruiting,Full-time,Other,Be among the first 25 applicants,2020-04-12 10:32:08.511136,Posted 4 days ago,2020-04-16 10:32:08.511136,2020-04-16
True,2020-04-13,1823957853,"(Senior) Data Scientist, Algorithms (d/f/m)",AUTO1 Group G.m.b.H,False,"Berlin, DE",Associate,Marketing & Advertising | Automotive | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-13 10:33:23.515331,Posted 3 days ago,2020-04-16 10:33:23.515331,2020-04-16
True,2020-04-15,1800988416,Data Scientist,Alldus,False,"Berlin, DE",Entry level,Information Technology & Services,Full-time,Engineering,Be among the first 25 applicants,2020-04-15 09:51:15.629516,Posted 1 day ago,2020-04-16 09:51:15.629516,2020-04-16
True,2020-04-15,1776820294,Deep Learning Software Engineer,Audatic,False,"Berlin Area, Germany",Associate,Computer Software | Medical Device,Full-time,Engineering | Information Technology,114 applicants,2020-04-15 11:19:30.804040,Posted 1 day ago,2020-04-16 11:19:30.804040,2020-04-16
True,2020-04-15,1800994063,Data Scientist (m/f/d),Cosmonauts & Kings,False,"Berlin, DE",Entry level,Marketing & Advertising | Online Media | Internet,Full-time,Writing/Editing,29 applicants,2020-04-15 09:49:15.210005,Posted 1 day ago,2020-04-16 09:49:15.210005,2020-04-16
True,2020-04-15,1825847103,Data Science Lead (m/f),FREE NOW DE,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-15 09:58:25.573959,Posted 1 day ago,2020-04-16 09:58:25.573959,2020-04-16
True,2020-04-15,1801697885,Data Analyst,Harnham,False,"Berlin, Berlin, Germany",Mid-Senior level,Information Technology & Services | Management Consulting | Information Services,Full-time,Marketing | Analyst | Consulting,Over 200 applicants,2020-04-15 11:25:34.637994,Posted 1 day ago,2020-04-16 11:25:34.637994,2020-04-16
True,2020-04-15,1826619401,Senior Data Scientist - Supplier Financing,Wayfair,False,"Berlin, DE",Associate,Marketing & Advertising | Information Technology & Services | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-15 09:46:53.461394,Posted 1 day ago,2020-04-16 09:46:53.461394,2020-04-16
True,2020-04-15,1800977626,Data Scientist,hundred,False,"Berlin, DE",Associate,Pharmaceuticals,Full-time,Engineering,25 applicants,2020-04-15 09:53:22.744616,Posted 1 day ago,2020-04-16 09:53:22.744616,2020-04-16
True,2020-04-16,1826808983,Data Scientist (m/f/d),Cosmonauts and Kings GmbH,False,"Berlin, DE",Entry level,Marketing & Advertising | Online Media | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-16 09:32:34.145581,Posted 16 hours ago,2020-04-16 09:32:34.145581,2020-04-16
True,2020-04-17,1802169146,Senior Data Scientist - Search and Discovery (f/m/d),Delivery Hero,False,"Berlin, DE",Associate,Information Technology & Services | Internet | Staffing & Recruiting,Full-time,Other,Be among the first 25 applicants,2020-04-17 12:39:33.720817,Posted 18 hours ago,2020-04-17 12:39:33.720817,2020-04-17
True,2020-04-18,1829637195,Data Scientist,Alldus,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-18 14:58:14.230954,Posted 2 hours ago,2020-04-18 14:58:14.230954,2020-04-18
True,2020-04-18,1829290448,Senior Data Scientist,BCGDV,False,"Berlin, DE",Associate,Marketing & Advertising | Information Technology & Services | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-18 14:57:41.082896,Posted 9 hours ago,2020-04-18 14:57:41.082896,2020-04-18
True,2020-04-18,1829487017,Data Scientist,Hundred,False,"Berlin, DE",Entry level,"Marketing & Advertising | Internet | Health, Wellness & Fitness",Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-18 14:57:59.714929,Posted 4 hours ago,2020-04-18 14:57:59.714929,2020-04-18
True,2020-04-18,1829217710,Data Science Dev Ops (m/f/d),theBASE FOL Group GmbH,False,"Berlin, DE",Entry level,Marketing & Advertising | Internet | Real Estate,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-18 14:57:23.258864,Posted 12 hours ago,2020-04-18 14:57:23.258864,2020-04-18
True,2020-04-19,1829926671,Senior Data Scientist,BCG Digital Ventures,False,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-19 10:43:51.590626,Posted 1 day ago,2020-04-20 10:43:51.590626,2020-04-20
True,2020-04-20,1830400399,Data Scientist (m/f/x) - IoT & Industry 4.0 Venture,BCG Digital Ventures,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-20 10:43:50.314626,Posted 13 hours ago,2020-04-20 10:43:50.314626,2020-04-20
True,2020-04-20,1808107843,Data Scientist (m/f/div),PubNative,False,"Berlin, DE",Associate,Information Technology & Services,Full-time,Engineering,Be among the first 25 applicants,2020-04-20 10:43:51.770626,Posted 6 hours ago,2020-04-20 10:43:51.770626,2020-04-20
True,2020-03-19,1790008830,(Senior) Data Scientist / Machine Learning Expert (w/m/d),EUROPACE AG,True,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Internet,Full-time,Other,Be among the first 25 applicants,2020-03-19 11:31:22.728925,Posted 4 weeks ago,2020-04-16 11:31:22.728925,2020-04-16
True,2020-04-02,1804062999,(Junior) Data Scientist / Data Analyst (w/m/d),KPMG Deutschland,True,"Berlin, DE",Entry level,Information Technology & Services | Staffing & Recruiting | Management Consulting,Full-time,Engineering | Information Technology,36 applicants,2020-04-02 11:27:55.243405,Posted 2 weeks ago,2020-04-16 11:27:55.243405,2020-04-16
True,2020-04-02,1803878682,Softwareentwickler - Data Scientist (w/m/d),eagle eye technologies,True,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-02 11:27:38.763258,Posted 2 weeks ago,2020-04-16 11:27:38.763258,2020-04-16
True,2020-04-09,1811846543,"Data Scientist - Data Engineer (w/m/d) - IT, Datenbankentwicklung / BI",Mediengruppe RTL Deutschland,True,"Berlin, DE",Entry level,Marketing & Advertising | Information Technology & Services | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-09 11:24:25.021147,Posted 1 week ago,2020-04-16 11:24:25.021147,2020-04-16
True,2020-04-12,1823403839,Data Science Consultant (x/f/m),idalab GmbH,True,"Berlin, DE",Associate,Design | Computer Software | Internet,Full-time,Information Technology,Be among the first 25 applicants,2020-04-12 10:32:36.863244,Posted 4 days ago,2020-04-16 10:32:36.863244,2020-04-16
True,2020-04-13,1823878161,Data Scientist (m/w/d),Characters Recruiting GmbH,True,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-13 10:05:05.920892,Posted 3 days ago,2020-04-16 10:05:05.920892,2020-04-16
True,2020-04-17,1804905324,Senior Data Scientist (m/w/d) Medical Devices,Fresenius Medical Care,True,"Berlin, DE",Associate,Hospital & Health Care | Pharmaceuticals | Information Technology & Services,Full-time,Other,Be among the first 25 applicants,2020-04-17 14:56:54.230811,Posted 1 day ago,2020-04-18 14:56:54.230811,2020-04-18
True,2020-04-19,1829449549,(Senior) Data Scientist / Machine Learning Expert (w/m/d),Hypoport SE,True,"Berlin, DE",Associate,Information Technology & Services | Internet | Staffing & Recruiting,Full-time,Other,Be among the first 25 applicants,2020-04-19 10:43:51.366626,Posted 1 day ago,2020-04-20 10:43:51.366626,2020-04-20
False,2020-03-19,1738848035,Data Scientist,Alldus,False,"Berlin Area, Germany",Mid-Senior level,Staffing & Recruiting,Full-time,Science,Over 200 applicants,2020-03-19 11:30:49.188716,Posted 4 weeks ago,2020-04-16 11:30:49.188716,2020-04-16
False,2020-03-26,1794586945,Senior Data Scientist (m/f/d) for MedTech and Gaming,Berlin Brandenburg Airport,False,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Staffing & Recruiting,Full-time,Other,Be among the first 25 applicants,2020-03-26 11:16:59.452065,Posted 3 weeks ago,2020-04-16 11:16:59.452065,2020-04-16
False,2020-04-02,1803544344,Data Scientist,Vendo Services,False,"Berlin, Germany",Mid-Senior level,Information Technology & Services,Full-time,Analyst | Engineering | Information Technology,Over 200 applicants,2020-04-02 10:29:13.326239,Posted 2 weeks ago,2020-04-16 10:29:13.326239,2020-04-16
False,2020-04-02,1776883064,Senior Research Engineer - Pricing and Personalisation (Python),Zalando SE,False,"Berlin, DE",Mid-Senior level,Internet | Retail | Information Technology & Services,Full-time,Research,Be among the first 25 applicants,2020-04-02 10:12:22.054023,Posted 2 weeks ago,2020-04-16 10:12:22.054023,2020-04-16
False,2020-04-09,1812317421,Senior Data Scientist,BCGDV,False,"Berlin, DE",Associate,Marketing & Advertising | Staffing & Recruiting | Management Consulting,Full-time,Other,Be among the first 25 applicants,2020-04-09 10:37:26.454266,Posted 1 week ago,2020-04-16 10:37:26.454266,2020-04-16
False,2020-04-09,1812948296,Data Scientist,Hundred,False,"Berlin, DE",Entry level,"Marketing & Advertising | Internet | Health, Wellness & Fitness",Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-09 11:21:50.762824,Posted 1 week ago,2020-04-16 11:21:50.762824,2020-04-16
False,2020-04-15,1802141086,Research Engineer - Customer Measurement Prediction,Zalando SE,False,"Berlin, DE",Mid-Senior level,Internet | Retail | Information Technology & Services,Full-time,Research,Be among the first 25 applicants,2020-04-15 10:12:38.978317,Posted 1 day ago,2020-04-16 10:12:38.978317,2020-04-16
False,2020-04-16,1826796095,Senior Data Scientist (d/m/f),Bayes Esports Solutions GmbH,False,"Berlin, DE",Mid-Senior level,Information Technology & Services,Full-time,Information Technology,Be among the first 25 applicants,2020-04-16 09:40:36.203752,Posted 16 hours ago,2020-04-16 09:40:36.203752,2020-04-16
False,2020-03-26,1796661514,(Senior) Data Scientist / Machine Learning Expert (w/m/d),Hypoport SE,True,"Berlin, DE",Associate,Information Technology & Services | Internet | Staffing & Recruiting,Full-time,Other,Be among the first 25 applicants,2020-03-26 11:17:23.072763,Posted 3 weeks ago,2020-04-16 11:17:23.072763,2020-04-16
False,2020-04-02,1802852613,"45516: Computer scientist, Data scientist, Mathematician or 
similar - Research in the field of software architectures or system 
architectures",German Aerospace Academy,True,"Berlin, DE",Associate,Computer Software | Research | Mechanical Or Industrial Engineering,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-02 11:29:02.883965,Posted 2 weeks ago,2020-04-16 11:29:02.883965,2020-04-16
False,2020-04-08,1813212245,Senior Data Scientist,tayfunRecruitment,True,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-08 23:44:09.824822,Posted 1 week ago,2020-04-15 23:44:09.824822,2020-04-15
